sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
The cold weather set in.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",The water filled the container.,,,
The use of the lead-free petrol is now being phased in.,CONTAINMENT,"SOURCE_PATH_GOAL, SUBSTANCE, CONTAINMENT",The new product is gradually being introduced to the market.,,,
"After the introduction, we’ll fade in the first scene.",CONTAINMENT,"SOURCE_PATH_GOAL, SCALE, CONTAINMENT","After the curtain rises, we'll gradually illuminate the stage.",,,
Traditional grocer’s shops are fast dying out.,CONTAINMENT,"SOURCE_PATH_GOAL, SUBSTANCE, SCALE",Traditional grocer's shops are rapidly decreasing in number.,,,
The sound of the chopper has faded out.,CONTAINMENT,"SOURCE_PATH_GOAL, SCALE, SUBSTANCE",The light from the lamp has dimmed gradually.,,,
He has been hiding out in a provincial village.,CONTAINMENT,"CONTAINMENT, COVERING",The cat is hiding inside a cardboard box.,,,
Mask out his voice with white noise.,CONTAINMENT,"COVERING, SUBSTANCE, FORCE",Cover the object with a cloth.,,,
The noise from the plane drowned out the noise of the gun.,CONTAINMENT,"FORCE, COVERING, SUBSTANCE",The water from the flood submerged the entire village.,,,
My head thumped solidly on a rock and I passed out.,CONTAINMENT,"CONTACT, FORCE, OBJECT, SOURCE_PATH_GOAL",The hammer thumped solidly on the nail and it went into the wood.,,,
The tablet knocked her out for four solid hours.,CONTAINMENT,"FORCE, SOURCE_PATH_GOAL, SUBSTANCE, SCALE",The sedative caused her to sleep deeply for four hours.,,,
"The plane dived suddenly, causing the pilot to black out.",CONTAINMENT,"SOURCE_PATH_GOAL, VERTICALITY, FORCE, CONTAINMENT","The bird dived suddenly, causing its prey to fall.",,,
The information has been leaked out.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE",The water has flowed out of the pipe.,,,
The singer has brought out a second album.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The worker has carried out a second box.,,,
They managed to work out a solution to the problem.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, OBJECT",They physically extracted an object from a complex mechanism.,,,
She was able to reason out many of the passages and their meanings.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT, SPLITTING",She was able to extract many items from the box and identify them.,,,
They need to interview some people and find out whether they like their jobs.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",They need to examine some objects and determine their physical properties.,,,
"The river sliced through sediments, carving out the gorge.",CONTAINMENT,"SPLITTING, FORCE, SOURCE_PATH_GOAL, OBJECT","The knife cut through the bread, creating two halves.",,,
The first experiments were carried out by Dr. Preston.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, OBJECT",The heavy boxes were carried out of the laboratory by Dr. Preston.,,,
The factory turns out 5000 cars every month.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT, SCALE",The machine produces 5000 items every cycle.,,,
The president promised to look into the matter.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The inspector looked inside the box.,,,
When he got back to Berlin he would inquire into the whole business.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, PART-WHOLE","When he returned to the office, he would investigate the entire project.",,,
...trapping so many people in state dependency robs them of their human dignity.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE, OBJECT","The cage traps the animals, preventing their free movement.",,,
[T]he federal government's welfare assistance programs intended to help those in need instead effectively trap people into dependence,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL","The cage traps the animal inside, preventing its escape.",,,
We pitched them the idea and they ate it right up.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, OBJECT",We threw them the ball and they caught it quickly.,,,
He's been feeding her lies all these years.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE, FORCE",He's been giving her food every day for years.,,,
This article is hard to digest.,CONTAINMENT,"SUBSTANCE, CONTAINMENT, FORCE",This food is hard to digest.,,,
I've been feeding him stock market tips for weeks.,CONTAINMENT,"SUBSTANCE, SOURCE_PATH_GOAL, CONTAINMENT, FORCE",I've been giving him food regularly for weeks.,,,
This SUV sure is a gas guzzler.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",This machine consumes a large amount of fuel.,,,
Demand for paper goods is eating away at our planet's forests.,CONTAINMENT,"SUBSTANCE, FORCE, SOURCE_PATH_GOAL, PART-WHOLE",Insects are consuming the leaves of trees in the forest.,,,
Developing nations are gobbling up our fossil fuels at any alarming rate.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",Developing nations are consuming our fossil fuels at a rapidly increasing rate.,,,
The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.,CONTAINMENT,"SUBSTANCE, CONTAINMENT, FORCE, SCALE",The factory's high demand for raw materials will deplete our inventory of rare metals.,,,
We have not found a way to stem this rising flood of gun violence.,CONTAINMENT,"FORCE, CONTAINMENT, VERTICALITY, SOURCE_PATH_GOAL",We have not found a way to block this increasing flow of water.,,,
We are drowning in an ocean of gun violence.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",We are submerged in deep water.,,,
Lost in the bureaucratic maze of city's criminal justice system,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",Lost in the complex building of the city's courthouse,,,
We need to protect our rights from infringement.,CONTAINMENT,"COVERING, CONTAINMENT, FORCE, OBJECT",We need to protect our valuables from theft.,,,
The government overstepped a line when they proposed wiretapping citizens' phone lines.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, LINK, CONTACT",The hiker stepped over a fallen tree trunk on the trail.,,,
Gay marriage is encroaching on our religious freedoms.,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",The floodwater is encroaching on the dry land.,,,
These gay marriage laws have invaded our religious rights.,CONTAINMENT,"CONTAINMENT, FORCE, OBJECT, SOURCE_PATH_GOAL",The army has invaded the neighboring country.,,,
The government needs to stay out of my bedroom.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The neighbor needs to stay out of my house.,,,
"The poor deserve a hand up, not a handout.",CONTAINMENT,"VERTICALITY, FORCE, SUPPORT, LINK","The climber needs a rope up, not a rope down.",,,
"The government shouldn't just give handouts, it needs to encourage people to get jobs instead.",CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, SUPPORT, CONTAINMENT","The teacher shouldn't just give answers, she needs to guide students to find solutions instead.",,,
We covered a lot of ground.,CONTAINMENT,"COVERING, SOURCE_PATH_GOAL, SCALE",We walked across a large area of land.,,,
He’s on our trail.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTACT, LINK",The hiker is walking on the forest trail.,,,
He strayed off the trail.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, SPLITTING",He walked away from the marked path.,,,
We went back over the same trail.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTACT, OBJECT",We walked along the same physical path again.,,,
We have already covered those points.,CONTAINMENT,"COVERING, OBJECT, CONTAINMENT",We have already placed blankets over those rocks.,,,
We have covered a lot of ground in our argument.,CONTAINMENT,"COVERING, SOURCE_PATH_GOAL, SUBSTANCE, SCALE",We have walked across a large area of land.,,,
Let’s go back over the argument again.,CONTAINMENT,"SOURCE_PATH_GOAL, OBJECT, COVERING",Let's walk back over the bridge again.,,,
You’re getting off the subject.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",You're stepping off the path.,,,
You’re really onto something there.,CONTAINMENT,"CONTACT, SUPPORT, SOURCE_PATH_GOAL",The book is on top of the table.,,,
We’re well on our way to solving this problem.,CONTAINMENT,"SOURCE_PATH_GOAL, SCALE, OBJECT",We're halfway down the road to the destination.,,,
The theory was expanded to cover more data.,CONTAINMENT,"COVERING, CONTAINMENT, SCALE, SUBSTANCE",The blanket was stretched to cover more of the bed.,,,
That theory covers a lot of territory.,CONTAINMENT,"COVERING, CONTAINMENT, SCALE",The blanket covers a large area of the bed.,,,
The theory filled in gaps left in earlier accounts.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",The cement filled in cracks left in the old wall.,,,
The theory fit the data closely.,CONTAINMENT,"CONTAINMENT, CONTACT, COVERING",The glove fit the hand closely.,,,
The theory doesn’t fit with the facts.,CONTAINMENT,"CONTAINMENT, CONTACT, OBJECT",The puzzle piece doesn't fit into the jigsaw.,,,
There was a hole in theory (it fails to cover all the facts),CONTAINMENT,"COVERING, CONTAINMENT, OBJECT",There was a hole in the roof (it fails to cover the entire attic),,,
The theory is closely tied to the facts.,CONTAINMENT,"LINK, CONTACT, FORCE",The rope is tightly tied to the post.,,,
The crisis stripped away our veneer of sophistication.,CONTAINMENT,"COVERING, FORCE, SUBSTANCE",The sandpaper stripped away the paint from the wood surface.,,,
We donned an appearance of nonchallance.,CONTAINMENT,"COVERING, OBJECT, CONTAINMENT",We put on a coat.,,,
Put on a happy face.,CONTAINMENT,"COVERING, OBJECT, VERTICALITY",Put on a mask.,7,5,
Under cover of darkness.,CONTAINMENT,"COVERING, CONTAINMENT, SUBSTANCE",Under the blanket in the dark room.,7,5,
He was enveloped in darkness.,CONTAINMENT,"CONTAINMENT, COVERING, SUBSTANCE",He was wrapped in a blanket.,7,7,
Darkness closed in over us.,CONTAINMENT,"CONTAINMENT, COVERING, FORCE, SOURCE_PATH_GOAL",The blanket covered us completely.,7,5,
It's what's on the inside that counts.,CONTAINMENT,"CONTAINMENT, CENTER-PERIPHERY, SCALE",The contents of the box determine its value.,7,7,
She only has surface charm.,CONTAINMENT,"COVERING, SUBSTANCE, CONTAINMENT",The table only has a surface coating.,7,5,
"We’ve been in a close relationship for years, but it’s beginning to seem confining.",CONTAINMENT,"CONTAINMENT, LINK, FORCE, SCALE","We've been in a small room for hours, and it's starting to feel cramped.",7,7,
to have an open marriage,CONTAINMENT,"CONTAINMENT, COVERING, LINK",to have an open door,7,7,
She's trapped in a relationship with a scumbag.,CONTAINMENT,"CONTAINMENT, FORCE, LINK",The mouse is trapped in a cage with a predator.,7,7,
They had a falling out.,CONTAINMENT,"SOURCE_PATH_GOAL, VERTICALITY, SPLITTING",The apple fell from the tree and split open.,3,3,
His mother’s death hit him hard.,CONTACT,"FORCE, CONTACT, OBJECT",The hammer hit the nail hard.,7,7,
That idea bowled me over.,CONTACT,"CONTACT, SOURCE_PATH_GOAL, FORCE",The bowling ball knocked down all the pins.,7,7,
She’s a knockout.,CONTACT,"FORCE, CONTACT, OBJECT",The boxer delivered a knockout punch.,7,7,
I was struck by his sincerity.,CONTACT,"FORCE, CONTACT, SOURCE_PATH_GOAL",I was struck by the baseball.,7,7,
That really made an impression on me.,CONTACT,"CONTACT, FORCE, SUBSTANCE",The stamp made an impression on the paper.,7,7,
He made his mark on the world.,CONTACT,"CONTACT, FORCE, OBJECT, SCALE",He drew a line on the map.,7,7,
I was touched by his remark.,CONTACT,"CONTACT, FORCE, OBJECT",The cup touches the table.,7,7,
That blew me away.,CONTACT,"FORCE, SOURCE_PATH_GOAL, CONTACT",The strong wind blew the leaves away.,7,7,
"We talk and talk, but I can’t seem to reach him.",CONTACT,"SOURCE_PATH_GOAL, LINK, CONTACT, FORCE","I walk and walk, but I can't seem to touch him.",7,7,
We connect.,CONTACT,"LINK, FORCE, CONTACT, SOURCE_PATH_GOAL",The two wires connect.,7,7,
"We talk and talk, but I can’t seem to reach him.",CONTACT,"SOURCE_PATH_GOAL, LINK, CONTACT, FORCE","I walk and walk, but I can't seem to touch him.",,,
He got to her.,CONTACT,"SOURCE_PATH_GOAL, CONTACT, FORCE",He walked to her location.,,,
I think I’m making contact with him.,CONTACT,"CONTACT, LINK, SOURCE_PATH_GOAL",My hand is touching his shoulder.,,,
I’m touched.,CONTACT,"CONTACT, FORCE, OBJECT",The fabric is touched by my hand.,,,
He touched her with the expensive gift.,CONTACT,"CONTACT, FORCE, OBJECT, LINK",He handed her the expensive gift.,,,
He tickles her pink with his remarks.,CONTACT,"CONTACT, FORCE, SUBSTANCE, SCALE",He touches her skin with his fingers.,,,
He makes my skin crawl.,CONTACT,"FORCE, CONTACT, SOURCE_PATH_GOAL",The insect crawls on my skin.,,,
Her T-shirt said Handle with Care”.,CONTACT,"COVERING, CONTAINMENT, OBJECT, FORCE",The package was labeled Handle with Care,,,
He doesn’t know how to handle her.,CONTACT,"FORCE, OBJECT, CONTACT",He doesn't know how to hold the fragile vase.,,,
He has to be handled with kid gloves,CONTACT,"CONTACT, COVERING, FORCE",The fragile object has to be handled with protective gloves,7,7,
He doesn’t feel anything so you really have to shake him.,CONTACT,"FORCE, CONTACT, OBJECT",The tree doesn't move so you really have to shake it.,7,7,
His comment hit Joe right where it hurts.,CONTACT,"CONTACT, FORCE, SOURCE_PATH_GOAL, OBJECT",The ball hit Joe's arm with force.,7,7,
He wraps himself in armor.,CONTACT,"COVERING, CONTAINMENT, OBJECT",He wraps the gift in paper.,7,7,
He shields himself from any experiences.,CONTACT,"COVERING, FORCE, CONTAINMENT",He holds an umbrella to protect himself from the rain.,7,7,
He won’t let anyone get near him.,CONTACT,"CONTAINMENT, CENTER-PERIPHERY, FORCE",The guard won't allow visitors to approach the restricted area.,7,7,
He’s out of touch with everyone.,CONTACT,"CONTACT, LINK, CONTAINMENT",He's not physically touching anyone.,7,7,
She’s in touch with him.,CONTACT,"CONTACT, LINK, CONTAINMENT",She's physically touching his hand.,7,7,
I can’t reach him by telephone.,CONTACT,"LINK, SOURCE_PATH_GOAL, CONTACT",I can't touch the top shelf with my hand.,7,7,
We’ve been out of contact for years.,CONTACT,"LINK, CONTAINMENT, SOURCE_PATH_GOAL, SCALE",The phone has been disconnected for days.,7,7,
Let’s strip away all the unimportant details.,CENTER-PERIPHERY,"COVERING, SUBSTANCE, CONTAINMENT, SPLITTING",Let's remove the outer layer of paint from the wall.,4,7,
What is central here?,CENTER-PERIPHERY,"CENTER-PERIPHERY, CONTAINMENT",What is in the middle of this room?,7,7,
That’s just a peripheral issue.,CENTER-PERIPHERY,"CENTER-PERIPHERY, OBJECT",That's just a tree at the edge of the forest.,7,7,
This is the core of the matter.,CENTER-PERIPHERY,"CENTER-PERIPHERY, CONTAINMENT, PART-WHOLE",This is the center of the circle.,7,7,
The issue is central to these negotiations.,CENTER-PERIPHERY,"CENTER-PERIPHERY, CONTAINMENT",The statue is central to the town square.,7,7,
Put aside for a moment the fact that the man has been in prison.,CENTER-PERIPHERY,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",Move the book to the side of the desk for a moment.,5,7,
He’s had to put away all ideas of becoming a concert pianist.,CENTER-PERIPHERY,"CONTAINMENT, OBJECT, SOURCE_PATH_GOAL",He's had to put away all his books in the shelf.,7,7,
She put the idea to the back of her mind.,CENTER-PERIPHERY,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT, PART-WHOLE",She placed the book at the back of the shelf.,7,7,
I had simply shelved this awkward problem.,CENTER-PERIPHERY,"CONTAINMENT, SUPPORT, OBJECT",I had simply placed this heavy book on the shelf.,7,7,
These crucial issues tend to get pushed aside and forgotten.,CENTER-PERIPHERY,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT, OBJECT",The boxes tend to get pushed to the corner of the room and left there.,7,7,
She brushed the thought away.,CENTER-PERIPHERY,"FORCE, SOURCE_PATH_GOAL, CONTACT, OBJECT",She brushed the crumbs away from the table.,7,7,
The animal rights movement threatens the very core of what the Public Health Service is all about.,CENTER-PERIPHERY,"FORCE, CENTER-PERIPHERY, CONTAINMENT",The flood threatens the foundation of the building.,7,7,
"It is unlike East London, where over the last ten or twenty years the heart has been torn out of manufacturing industry in the docks and with it has gone traditional working-class organisation.",CENTER-PERIPHERY,"CONTAINMENT, PART-WHOLE, FORCE, SOURCE_PATH_GOAL, OBJECT","Over the last ten or twenty years, many manufacturing businesses in East London's docks have closed, and as a result, traditional working-class organizations have disappeared.",7,7,
Love for his son has kept him goingamidst the grief.,CENTER-PERIPHERY,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT, SUBSTANCE",The engine has kept the car moving through the storm.,7,7,
In the midst of the nation’s grief.,CENTER-PERIPHERY,"CONTAINMENT, CENTER-PERIPHERY, SUBSTANCE",In the center of the crowded room.,6,7,
"The Muslim tradition spoke to her again at a time of distress in her life, after the death of her mother.‘I was in the midst of a personal crisis, along with my mom’s death,<...>.’",CENTER-PERIPHERY,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, LINK","The person found comfort in religious practices during a difficult period following her mother's passing. 'I was experiencing personal challenges while also dealing with my mother's death,<...>.'",4,7,
